city_code,temp,humidity,pressure,wind_speed,hour,month,aqi
8,16.24,83,1023,2.29,23,5,25
8,16.08,84,1023,2.39,0,5,21
9,13.94,94,1014,5.26,23,5,25
9,13.04,91,1015,4.74,0,5,25
2,16.8,75,1021,1.4,23,5,20
2,16.06,82,1021,1.14,0,5,22
1,16.06,69,1020,3.51,23,5,29
1,15.55,72,1021,3.45,0,5,30
6,16.92,86,1021,3.82,23,5,31
6,16.92,80,1021,3.16,0,5,29
5,15.06,88,1019,4.93,23,5,57
5,15.06,88,1019,4.69,0,5,57
4,15.82,87,1021,1.55,23,5,26
4,15.84,77,1021,1.8,0,5,30
0,15.79,78,1017,3.85,23,5,37
0,15.59,79,1017,3.94,0,5,24
7,16.04,67,1020,3.05,23,5,12
7,15.06,82,1020,3.22,0,5,13
3,20.97,56,1022,1.17,23,5,31
3,19.97,60,1022,1.66,0,5,27
