city,date_paris,hour_paris,timestamp_paris_wx,temp,humidity,pressure,wind_speed,wind_gust,clouds,weather_main,timestamp_paris_aq,aqi,pm25,pm10,no2,o3,alert_level,datetime
bordeaux,2026-05-19,23,2026-05-19T23:00:00+02:00,16.24,83,1023,2.29,5.62,0,clear,2026-05-19T23:00:00+02:00,25,25.0,9,9.2,3.3,good,2026-05-19 23:00:00+02:00
bordeaux,2026-05-20,0,2026-05-20T00:00:00+02:00,16.08,84,1023,2.39,4.73,0,clear,2026-05-20T00:00:00+02:00,21,21.0,19,9.6,3.3,good,2026-05-20 00:00:00+02:00
lille,2026-05-19,23,2026-05-19T23:00:00+02:00,13.94,94,1014,5.26,11.05,100,rain,2026-05-19T23:00:00+02:00,25,25.0,6,10.1,15.6,good,2026-05-19 23:00:00+02:00
lille,2026-05-20,0,2026-05-20T00:00:00+02:00,13.04,91,1015,4.74,9.72,75,rain,2026-05-20T00:00:00+02:00,25,25.0,6,10.1,15.6,good,2026-05-20 00:00:00+02:00
lyon,2026-05-19,23,2026-05-19T23:00:00+02:00,16.8,75,1021,1.4,1.47,0,clear,2026-05-19T23:00:00+02:00,20,,20,10.1,,good,2026-05-19 23:00:00+02:00
lyon,2026-05-20,0,2026-05-20T00:00:00+02:00,16.06,82,1021,1.14,1.12,0,clear,2026-05-20T00:00:00+02:00,22,,22,7.0,,good,2026-05-20 00:00:00+02:00
marseille,2026-05-19,23,2026-05-19T23:00:00+02:00,16.06,69,1020,3.51,5.63,0,clear,2026-05-19T23:00:00+02:00,29,21.0,8,5.1,28.6,good,2026-05-19 23:00:00+02:00
marseille,2026-05-20,0,2026-05-20T00:00:00+02:00,15.55,72,1021,3.45,6.04,0,clear,2026-05-20T00:00:00+02:00,30,30.0,12,13.1,15.6,good,2026-05-20 00:00:00+02:00
montpellier,2026-05-19,23,2026-05-19T23:00:00+02:00,16.92,86,1021,3.82,6.05,0,clear,2026-05-19T23:00:00+02:00,31,20.0,9,4.1,31.0,good,2026-05-19 23:00:00+02:00
montpellier,2026-05-20,0,2026-05-20T00:00:00+02:00,16.92,80,1021,3.16,4.9,0,clear,2026-05-20T00:00:00+02:00,29,24.0,10,5.2,28.8,good,2026-05-20 00:00:00+02:00
nantes,2026-05-19,23,2026-05-19T23:00:00+02:00,15.06,88,1019,4.93,11.34,100,clouds,2026-05-19T23:00:00+02:00,57,57.0,22,1.3,29.3,moderate,2026-05-19 23:00:00+02:00
nantes,2026-05-20,0,2026-05-20T00:00:00+02:00,15.06,88,1019,4.69,11.14,100,clouds,2026-05-20T00:00:00+02:00,57,57.0,22,1.3,29.3,moderate,2026-05-20 00:00:00+02:00
nice,2026-05-19,23,2026-05-19T23:00:00+02:00,15.82,87,1021,1.55,2.03,0,clear,2026-05-19T23:00:00+02:00,26,24.0,8,13.5,25.9,good,2026-05-19 23:00:00+02:00
nice,2026-05-20,0,2026-05-20T00:00:00+02:00,15.84,77,1021,1.8,2.3,0,clear,2026-05-20T00:00:00+02:00,30,30.0,11,13.5,14.0,good,2026-05-20 00:00:00+02:00
paris,2026-05-19,23,2026-05-19T23:00:00+02:00,15.79,78,1017,3.85,11.83,100,clouds,2026-05-19T23:00:00+02:00,37,37.0,6,18.4,24.7,good,2026-05-19 23:00:00+02:00
paris,2026-05-20,0,2026-05-20T00:00:00+02:00,15.59,79,1017,3.94,11.8,0,clear,2026-05-20T00:00:00+02:00,24,37.0,6,14.3,24.1,good,2026-05-20 00:00:00+02:00
strasbourg,2026-05-19,23,2026-05-19T23:00:00+02:00,16.04,67,1020,3.05,7.01,100,clouds,2026-05-19T23:00:00+02:00,12,12.0,6,8.3,,good,2026-05-19 23:00:00+02:00
strasbourg,2026-05-20,0,2026-05-20T00:00:00+02:00,15.06,82,1020,3.22,7.62,100,clouds,2026-05-20T00:00:00+02:00,13,13.0,6,7.2,,good,2026-05-20 00:00:00+02:00
toulouse,2026-05-19,23,2026-05-19T23:00:00+02:00,20.97,56,1022,1.17,1.38,0,clear,2026-05-19T23:00:00+02:00,31,14.0,5,2.8,30.7,good,2026-05-19 23:00:00+02:00
toulouse,2026-05-20,0,2026-05-20T00:00:00+02:00,19.97,60,1022,1.66,2.33,0,clear,2026-05-20T00:00:00+02:00,27,13.0,5,3.8,26.5,good,2026-05-20 00:00:00+02:00
